coreid,histid,waypoint,lat,long,corecol,histcol,scanned,reefzone,site,gender,mrb,tissue,corelength,meanle5,meanle,e1,ATDp,ATDpc,ATDot,ATDot_mrb,ATDot_mrb_a,ATDop,ATDop_a,ATDop_mrb,ATDop_mrb_a
Y-IR-BH-34-S,NA,40,25.21615,-80.27681667,5/6/15,NA,2/11/16,IR,BH,NA,HIGH,5.618333333,39.4,2.948,3.411945652,0.727272727,11.02983977,11.02983977,5.728070175,6.342105263,6.342105263,7.28874269,7.28874269,7.723684211,7.723684211
Y-IR-BH-35-S,NA,41,25.21608333,-80.27685,5/6/15,NA,2/11/16,IR,BH,NA,HIGH,8.08,14.6,5.9072,4.180925926,0.856321839,6.710466905,6.710466905,7.828947368,7.427631579,7.427631579,8.896929825,8.896929825,8.842105263,8.842105263
Y-IR-BH-37-S,NA,44,25.21603333,-80.27706667,5/6/15,NA,2/11/16,IR,BH,NA,LOW,6.075,36.2,3.2524,3.573077922,0.970873786,10.45923445,10.45923445,3.274853801,2.203947368,2.203947368,4.790296053,4.790296053,3.947368421,3.947368421
Y-IR-BH-38-S,NA,45,25.21603333,-80.2771,5/6/15,NA,8/4/16,IR,BH,NA,HIGH,5.676666667,52.7,2.5058,3.155234375,0.8,14.72386505,2.72386505,5.452302632,5.625,5.625,7.097039474,7.097039474,7.434210526,7.434210526
Y-IR-BH-39-S,NA,46,25.21613333,-80.27716667,5/6/15,NA,2/11/16,IR,BH,NA,HIGH,5.033333333,51.4,3.3798,3.195730769,0.811320755,7.386816676,7.386816676,6.890350877,5.263157895,5.263157895,8.297697368,8.297697368,7.039473684,7.039473684
Y-IR-BS-65-S,BS-1,509,25.48489,-80.14933,4/13/16,4/13/16,8/4/16,IR,BS,F,LOW,8.155,26.7,2.8042,3.354529412,0.971867008,17.97708913,5.97708913,0.946637427,2.171052632,2.171052632,2.737573099,2.737573099,4.078947368,4.078947368
Y-IR-BS-67-S,BS-2,512,25.48484,-80.14923,4/13/16,4/13/16,8/4/16,IR,BS,M,LOW,6.356666667,36.8,3.3218,3.421367089,0.867346939,11.03770096,11.03770096,10.64400585,0.756578947,12.75657895,0.43494152,12.43494152,2.664473684,2.664473684
Y-IR-BS-69-S,BS-4,513,25.48466,-80.1493,4/13/16,4/13/16,8/4/16,IR,BS,NA,LOW,5.37,24.8,2.5446,2.798589744,0.989974937,13.30452723,1.30452723,10.72121711,10.75,10.75,0.48245614,12.48245614,0.822368421,0.822368421
Y-IR-BS-74-S,BS-5,515,25.48524,-80.14903,4/13/16,4/13/16,4/22/16,IR,BS,NA,HIGH,6.726666667,47.8,4.7694,4.375561644,0.835714286,6.929028182,6.929028182,10.23099415,8.809210526,8.809210526,0.078947368,12.07894737,10.88157895,1.11842105
Y-IR-CR-12-S,CR-2,18,24.90401667,-80.6095,5/2/15,4/11/16,5/19/16,IR,CR,NA,HIGH,5.833333333,61,3.6866,3.575328,0.815789474,7.987596201,7.987596201,8.831140351,5.822368421,5.822368421,10.47587719,10.47587719,10.91447368,10.91447368
Y-IR-CR-13-S,CR-1,19,24.90396667,-80.60958333,5/2/15,4/11/16,5/19/16,IR,CR,F,LOW,6.913333333,61.6,2.8686,3.45304717,1.22972973,16.7153767,4.7153767,3.004385965,3.881578947,3.881578947,4.457236842,4.457236842,5.230263158,5.230263158
Y-IR-CR-16-S,CR-3,21,24.90376667,-80.6098,5/2/15,4/11/16,5/19/16,IR,CR,M,HIGH,6.546666667,69.2,3.2632,3.717043796,0.873786408,12.06982278,0.06982278,8.144005848,5.723684211,5.723684211,9.288651316,9.288651316,7.598684211,7.598684211
Y-IR-CR-18-S,CR-5,24,24.90376667,-80.60983333,5/2/15,4/11/16,2/11/16,IR,CR,NA,LOW,4.848333333,42.5,3.516,3.214314286,0.673952641,7.078433121,7.078433121,0.014619883,1.381578947,1.381578947,1.817434211,1.817434211,3.157894737,3.157894737
Y-IR-CR-19-S,CR-4,25,24.90383333,-80.60981667,5/2/15,4/11/16,8/4/16,IR,CR,NA,HIGH,7.148333333,57.8,4.7104,4.637677966,0.964285714,7.266536705,7.266536705,8.535087719,7.197368421,7.197368421,10.14327485,10.14327485,9.203947368,9.203947368
Y-IR-WW-48-S,WW-1,496,NA,NA,4/10/16,4/10/16,4/22/16,IR,WW,F,HIGH,5.518333333,19.1,2.9502,3.192733333,0.789473684,10.62630595,10.62630595,1.973684211,0.855263158,0.855263158,3.651315789,3.651315789,2.039473684,2.039473684
Y-IR-WW-49-S,WW-2,497,NA,NA,4/10/16,4/10/16,8/4/16,IR,WW,M,HIGH,7.113333333,29.8,4.2474,3.644590164,0.746031746,8.833060957,8.833060957,3.034539474,2.565789474,2.565789474,4.707602339,4.707602339,4.375,4.375
Y-IR-WW-51-S,WW-3,499,NA,NA,4/10/16,4/10/16,8/4/16,IR,WW,M,LOW,6.456666667,36.3,3.416,4.0993375,1.20596206,10.56141258,10.56141258,3.307748538,2.598684211,2.598684211,5.107407407,5.107407407,4.407894737,4.407894737
Y-IR-WW-54-S,WW-4,NA,24.539,-81.6304,4/10/16,4/10/16,8/4/16,IR,WW,F,HIGH,6.863333333,28.6,3.5602,4.368754386,0.785714286,11.2292795,11.2292795,8.195175439,7.986842105,7.986842105,9.894736842,9.894736842,9.861842105,9.861842105
Y-OR-AR-05-S,AR-3,9,24.89531667,-80.57221667,5/1/15,4/11/16,2/11/16,OR,AR,NA,HIGH,6.575,21,2.8592,2.6355,1.111111111,15.51276195,3.51276195,11.28101504,0.460526316,12.46052632,1.114309211,13.11430921,2.269736842,2.269736842
Y-OR-AR-06-S,AR-1,11,24.89521667,-80.57241667,5/1/15,4/11/16,2/11/16,OR,AR,M,HIGH,6.73,36.8,4.9186,4.33665,0.552147239,7.244142379,7.244142379,8.052631579,6.809210526,6.809210526,9.752192982,9.752192982,9.927631579,9.927631579
Y-OR-AR-09-S,AR-2,15,24.89541667,-80.5724,5/1/15,4/11/16,2/11/16,OR,AR,F,LOW,6.583333333,14.6,2.5276,2.887108108,0.757918552,16.99756737,4.99756737,9.886513158,9.598684211,9.598684211,11.62171053,11.62171053,11.76973684,11.76973684
Y-OR-AR-10-S,AR-4,16,24.89496667,-80.57325,5/1/15,4/11/16,2/11/16,OR,AR,M,HIGH,6.361666667,22.9,2.605,3.504794118,0.815789474,16.18492853,4.18492853,1.603618421,2.861842105,2.861842105,3.544407895,3.544407895,5.657894737,5.657894737
Y-OR-CF-21-S,NA,27,25.20121667,-80.22676667,5/5/15,NA,2/11/16,OR,CF,NA,HIGH,5.621666667,36.2,2.4874,3.173029412,1.061538462,15.03849725,3.03849725,4.305098684,5.164473684,5.164473684,6.130756579,6.130756579,6.546052632,6.546052632
Y-OR-CF-26-S,NA,30,25.20143333,-80.2266,5/5/15,NA,2/11/16,OR,CF,NA,HIGH,6.56,25.4,3.6736,3.575735849,1.02247191,9.496748855,9.496748855,8.527777778,9.105263158,9.105263158,10.25657895,10.25657895,11.27631579,11.27631579
Y-OR-CF-27-S,NA,32,25.2013,-80.22666667,5/5/15,NA,2/11/16,OR,CF,NA,HIGH,6.623333333,23.5,4.2104,3.98976087,0.537931034,8.438124981,8.438124981,8.58625731,6.184210526,6.184210526,10.36988304,10.36988304,10.65131579,10.65131579
Y-OR-CF-28-S,NA,31,25.20133333,-80.22666667,5/5/15,NA,2/11/16,OR,CF,NA,LOW,6.575,37.5,4.4338,3.750493827,0.914542729,7.153423652,7.153423652,2.024853801,1.348684211,1.348684211,3.470394737,3.470394737,3.256578947,3.256578947
Y-OR-CF-30-S,NA,34,25.20115,-80.22698333,5/5/15,NA,2/11/16,OR,CF,NA,HIGH,6.833333333,38.7,4.9962,4.833254545,0.792682927,6.821205081,6.821205081,9.507309942,11.24342105,11.24342105,11.23976608,11.23976608,0.789473684,12.78947368
Y-OR-ES-01-S,ES-1,1,NA,NA,4/28/15,4/9/16,8/4/16,OR,ES,F,HIGH,6.701666667,50.8,2.9316,4.042174603,0.846938776,14.98163454,2.98163454,3.852796053,4.078947368,4.078947368,5.818256579,5.818256579,5.855263158,5.855263158
Y-OR-ES-02-S,ES-3,2,NA,NA,4/28/15,4/9/16,2/11/16,OR,ES,F,LOW,6.591666667,53.3,3.2666,3.540373134,0.94972067,12.20932666,0.20932666,9.853618421,10.78289474,10.78289474,11.609375,11.609375,0.592105263,12.59210526
Y-OR-ES-03-S,NA,3,NA,NA,4/28/15,4/9/16,2/11/16,OR,ES,NA,HIGH,4.75,38.1,2.7784,2.926384615,0.811111111,9.032525339,9.032525339,6.210526316,4.901315789,4.901315789,7.944078947,7.944078947,7.236842105,7.236842105
Y-OR-ES-44-S,ES-4,492,24.49574,-81.64893,4/9/16,4/9/16,8/4/16,OR,ES,F,LOW,5.895,63.5,3.8964,2.923953488,0.867098865,7.422940398,7.422940398,11.40789474,0.855263158,12.85526316,1.125730994,13.12573099,2.861842105,2.861842105
Y-OR-ES-46-S,ES-5,491,24.49599,-81.64903,4/9/16,4/9/16,4/22/16,OR,ES,NA,HIGH,5.398333333,43.2,4.1632,4.486885714,0.751724138,6.627445401,6.627445401,5.446637427,4.407894737,4.407894737,7.189327485,7.189327485,6.184210526,6.184210526
Y-OR-FR-58-S,FR-1,502,25.58769,-80.09561,4/12/16,4/12/16,4/22/16,OR,FR,NA,LOW,5.62,24.1,3.1744,3.373828571,0.851769912,9.548269015,9.548269015,1.393914474,1.611842105,1.611842105,3.203125,3.203125,3.453947368,3.453947368
Y-OR-FR-61-S,FR-3,503,25.58756,-80.09562,4/12/16,4/12/16,4/22/16,OR,FR,NA,HIGH,7.658333333,12.1,2.9888,3.0171875,0.9,17.06007317,5.06007317,7.935672515,8.907894737,8.907894737,9.785087719,9.785087719,10.91447368,10.91447368
Y-OR-FR-63-S,FR-5,505,25.58731,-80.09563,4/12/16,4/12/16,8/4/16,OR,FR,NA,LOW,6.738333333,35.6,4.171,4.535984848,0.765765766,8.325873807,8.325873807,2.481725146,1.414473684,1.414473684,4.294590643,4.294590643,3.157894737,3.157894737